module,path,methods,verified,probe_status,params,query
"admin","/api/admin/template/meta","POST","bundle","","",""
"admin","/api/admin/template/system/tag/drop","GET","bundle","","",""
"admin","/api/admin/template/system/tag/new","GET","probe","404","",""
"agreement","/auth/agreement/access","PUT","bundle","","",""
"agreement","/auth/agreement/reject","PUT","bundle","","",""
"apikey","/api/apikey","DELETE|GET|PATCH|POST","live","200","",""
"assets","/api/assets","DELETE|GET|POST","probe","404","tag|team_id",""
"assets","/api/assets/audio/file","GET","probe","404","audio_file|updateTsIfExisted",""
"assets","/api/assets/cert/file","DELETE","bundle","","cert_file|updateTsIfExisted",""
"assets","/api/assets/clearimages","POST","bundle","","",""
"assets","/api/assets/image/cosobj","POST","bundle","","object_name|team_id|watermark",""
"assets","/api/assets/image/data","POST","bundle","","base64|filename|limit|team_id",""
"assets","/api/assets/image/file","POST","bundle","","formData",""
"assets","/api/assets/image/fromAnyStorage","POST","bundle","","imagelinks",""
"assets","/api/assets/image/imagedata","POST","bundle","","image_data|team_id",""
"assets","/api/assets/image/outlink","POST","bundle","","image_url|team_id|updateTsIfExisted",""
"assets","/api/assets/image/qqmap","POST","bundle","","lat|lng|team_id",""
"assets","/api/assets/image/svgContent","POST","bundle","","",""
"assets","/api/assets/image/wxlink","POST","bundle","","fileNames|imagelinks|tag|team_id",""
"assets","/api/assets/list/audio","GET","probe","200","",""
"assets","/api/assets/list/image","GET","probe","200","limit|offset|search|team_id",""
"assets","/api/assets/list/image/count","GET","probe","200","limit|offset|team_id",""
"assets","/api/assets/list/image/used","GET","probe","200","limit|offset|team_id",""
"assets","/api/assets/list/video","GET","probe","200","limit|offset|team_id",""
"assets","/api/assets/list/video/count","GET","probe","404","team_id",""
"assets","/api/assets/list/video/used","GET","probe","404","team_id",""
"assets","/api/assets/psd/file","","probe","404","layout|psd_file|text2image",""
"assets","/api/assets/tagsset","POST","bundle","","tags_set",""
"assets","/api/assets/type/image/tag","DELETE","bundle","","team_id",""
"assets","/api/assets/type/image/tag/assets","GET","probe","200","limit|offset|tag|team_id",""
"assets","/api/assets/type/image/tag/rename","POST","bundle","","new_tag|old_tag|team_id",""
"assets","/api/assets/type/image/tags","DELETE|GET|POST","probe","200","team_id",""
"assets","/api/assets/type/image/tagsorder","GET|POST","live","200","order|team_id",""
"assets","/api/assets/type/image/untags","GET","probe","200","limit|offset|tag|team_id",""
"assets","/api/assets/type/image/untags/clearimages","DELETE","bundle","","limit|team_id",""
"assets","/api/assets/video/cosobj","POST","bundle","","object_name|team_id|updateTsIfExisted",""
"assets","/api/assets/video/file","POST","bundle","","formData",""
"assets","/api/assets/video/ossobj","POST","bundle","","object_name|team_id|updateTsIfExisted",""
"audio","/api/audio/audio_list","GET","probe","404","",""
"audio","/api/audio/category_list","GET","probe","200","",""
"audio","/api/audio/source_list","GET","probe","200","",""
"auth","/api/auth/email/reset_password","POST","bundle","","code|email|password",""
"auth","/api/auth/login-captcha","GET","live","400","area_code|username","area_code|username"
"auth","/api/auth/partner/ownerpartnerapp","GET","live","200","unique_uid",""
"auth","/api/auth/partner/partnerapp","DELETE|POST|PUT","bundle","","",""
